,0.1_original_accuracy,0.1_original_dpd,0.1_original_eod,0.1_column_shuffle_accuracy,0.1_column_shuffle_dpd,0.1_column_shuffle_eod,0.1_column_killing_accuracy,0.1_column_killing_dpd,0.1_column_killing_eod,0.1_redistribution_accuracy,0.1_redistribution_dpd,0.1_redistribution_eod,0.1_new_class_accuracy,0.1_new_class_dpd,0.1_new_class_eod,0.2_original_accuracy,0.2_original_dpd,0.2_original_eod,0.2_column_shuffle_accuracy,0.2_column_shuffle_dpd,0.2_column_shuffle_eod,0.2_column_killing_accuracy,0.2_column_killing_dpd,0.2_column_killing_eod,0.2_redistribution_accuracy,0.2_redistribution_dpd,0.2_redistribution_eod,0.2_new_class_accuracy,0.2_new_class_dpd,0.2_new_class_eod,0.3_original_accuracy,0.3_original_dpd,0.3_original_eod,0.3_column_shuffle_accuracy,0.3_column_shuffle_dpd,0.3_column_shuffle_eod,0.3_column_killing_accuracy,0.3_column_killing_dpd,0.3_column_killing_eod,0.3_redistribution_accuracy,0.3_redistribution_dpd,0.3_redistribution_eod,0.3_new_class_accuracy,0.3_new_class_dpd,0.3_new_class_eod,0.4_original_accuracy,0.4_original_dpd,0.4_original_eod,0.4_column_shuffle_accuracy,0.4_column_shuffle_dpd,0.4_column_shuffle_eod,0.4_column_killing_accuracy,0.4_column_killing_dpd,0.4_column_killing_eod,0.4_redistribution_accuracy,0.4_redistribution_dpd,0.4_redistribution_eod,0.4_new_class_accuracy,0.4_new_class_dpd,0.4_new_class_eod,0.5_original_accuracy,0.5_original_dpd,0.5_original_eod,0.5_column_shuffle_accuracy,0.5_column_shuffle_dpd,0.5_column_shuffle_eod,0.5_column_killing_accuracy,0.5_column_killing_dpd,0.5_column_killing_eod,0.5_redistribution_accuracy,0.5_redistribution_dpd,0.5_redistribution_eod,0.5_new_class_accuracy,0.5_new_class_dpd,0.5_new_class_eod
10,0.755,0.25,0.5882352941176471,0.75,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.745,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.745,0.25,0.5882352941176471,0.75,0.25,0.5,0.755,0.25,0.5882352941176471,0.745,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.745,0.25,0.5
11,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.76,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.77,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.755,0.20000000000000007,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.77,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.76,0.20000000000000007,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.76,0.25,0.5
12,0.755,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.77,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.76,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.745,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.76,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.765,0.20000000000000007,0.36274509803921573,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.75,0.25,0.5,0.755,0.25,0.5882352941176471,0.77,0.20000000000000007,0.42156862745098045,0.74,0.10000000000000009,0.42156862745098045,0.745,0.25,0.5882352941176471,0.76,0.25,0.5
13,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.75,0.25,0.5,0.755,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.77,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.75,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.74,0.25,0.5,0.755,0.25,0.5882352941176471,0.755,0.20000000000000007,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.75,0.25,0.5,0.755,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.76,0.25,0.5294117647058824
14,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.75,0.20000000000000007,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.77,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.755,0.25,0.5
15,0.755,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.77,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.745,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.755,0.25,0.5,0.755,0.25,0.5882352941176471,0.755,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.755,0.25,0.5,0.755,0.25,0.5882352941176471,0.76,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.75,0.25,0.5
16,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.74,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.75,0.25,0.5,0.755,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.765,0.25,0.5,0.755,0.25,0.5882352941176471,0.745,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.755,0.25,0.5,0.755,0.25,0.5882352941176471,0.745,0.20000000000000007,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.765,0.25,0.5294117647058824
17,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.75,0.20000000000000007,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.77,0.20000000000000007,0.42156862745098045,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.765,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.745,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.77,0.25,0.5
18,0.755,0.25,0.5882352941176471,0.74,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.75,0.20000000000000007,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.745,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.74,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.75,0.20000000000000007,0.33333333333333337,0.74,0.10000000000000009,0.42156862745098045,0.77,0.25,0.5882352941176471,0.755,0.25,0.5,0.755,0.25,0.5882352941176471,0.76,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.76,0.25,0.5
19,0.755,0.25,0.5882352941176471,0.75,0.20000000000000007,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.75,0.25,0.5,0.755,0.25,0.5882352941176471,0.76,0.20000000000000007,0.36274509803921573,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.745,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.765,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.76,0.25,0.5161290322580645,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.755,0.25,0.5
20,0.755,0.25,0.5882352941176471,0.74,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.745,0.25,0.5,0.755,0.25,0.5882352941176471,0.76,0.20000000000000007,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.755,0.25,0.5,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.77,0.25,0.5882352941176471,0.76,0.25,0.5,0.755,0.25,0.5882352941176471,0.755,0.20000000000000007,0.5,0.74,0.10000000000000009,0.42156862745098045,0.77,0.25,0.5882352941176471,0.75,0.25,0.5
21,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.75,0.25,0.5,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.77,0.25,0.5882352941176471,0.765,0.25,0.5294117647058824
22,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.745,0.25,0.5,0.755,0.25,0.5882352941176471,0.745,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.76,0.25,0.5
23,0.755,0.25,0.5882352941176471,0.755,0.20000000000000007,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.20000000000000007,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.735,0.25,0.5,0.755,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.76,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.76,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.76,0.25,0.5
24,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.77,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.745,0.20000000000000007,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.755,0.25,0.5,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.76,0.25,0.5,0.755,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.77,0.25,0.5294117647058824
25,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.755,0.20000000000000007,0.42156862745098045,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.765,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.77,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.76,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.745,0.25,0.5,0.755,0.25,0.5882352941176471,0.74,0.20000000000000007,0.5,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824
26,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.75,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.755,0.25,0.5294117647058824,0.74,0.10000000000000009,0.42156862745098045,0.76,0.25,0.5882352941176471,0.76,0.25,0.5,0.755,0.25,0.5882352941176471,0.75,0.20000000000000007,0.42156862745098045,0.74,0.10000000000000009,0.42156862745098045,0.75,0.25,0.5882352941176471,0.765,0.25,0.5882352941176471,0.755,0.25,0.5882352941176471,0.76,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.765,0.25,0.5882352941176471,0.77,0.25,0.5294117647058824,0.755,0.25,0.5882352941176471,0.775,0.25,0.5882352941176471,0.74,0.10000000000000009,0.42156862745098045,0.755,0.25,0.5882352941176471,0.77,0.25,0.5294117647058824
