,0.1_original_accuracy,0.1_original_dpd,0.1_original_eod,0.1_column_shuffle_accuracy,0.1_column_shuffle_dpd,0.1_column_shuffle_eod,0.1_column_killing_accuracy,0.1_column_killing_dpd,0.1_column_killing_eod,0.1_redistribution_accuracy,0.1_redistribution_dpd,0.1_redistribution_eod,0.1_new_class_accuracy,0.1_new_class_dpd,0.1_new_class_eod,0.2_original_accuracy,0.2_original_dpd,0.2_original_eod,0.2_column_shuffle_accuracy,0.2_column_shuffle_dpd,0.2_column_shuffle_eod,0.2_column_killing_accuracy,0.2_column_killing_dpd,0.2_column_killing_eod,0.2_redistribution_accuracy,0.2_redistribution_dpd,0.2_redistribution_eod,0.2_new_class_accuracy,0.2_new_class_dpd,0.2_new_class_eod,0.3_original_accuracy,0.3_original_dpd,0.3_original_eod,0.3_column_shuffle_accuracy,0.3_column_shuffle_dpd,0.3_column_shuffle_eod,0.3_column_killing_accuracy,0.3_column_killing_dpd,0.3_column_killing_eod,0.3_redistribution_accuracy,0.3_redistribution_dpd,0.3_redistribution_eod,0.3_new_class_accuracy,0.3_new_class_dpd,0.3_new_class_eod,0.4_original_accuracy,0.4_original_dpd,0.4_original_eod,0.4_column_shuffle_accuracy,0.4_column_shuffle_dpd,0.4_column_shuffle_eod,0.4_column_killing_accuracy,0.4_column_killing_dpd,0.4_column_killing_eod,0.4_redistribution_accuracy,0.4_redistribution_dpd,0.4_redistribution_eod,0.4_new_class_accuracy,0.4_new_class_dpd,0.4_new_class_eod,0.5_original_accuracy,0.5_original_dpd,0.5_original_eod,0.5_column_shuffle_accuracy,0.5_column_shuffle_dpd,0.5_column_shuffle_eod,0.5_column_killing_accuracy,0.5_column_killing_dpd,0.5_column_killing_eod,0.5_redistribution_accuracy,0.5_redistribution_dpd,0.5_redistribution_eod,0.5_new_class_accuracy,0.5_new_class_dpd,0.5_new_class_eod
38,0.64,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0,0.66,1.0,1.0,0.645,1.0,1.0,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.635,1.0,1.0,0.635,1.0,1.0,0.64,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0,0.655,1.0,1.0,0.63,1.0,1.0,0.64,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0,0.66,1.0,1.0,0.63,1.0,1.0,0.64,1.0,1.0,0.63,1.0,1.0,0.605,1.0,1.0,0.655,1.0,1.0,0.605,1.0,1.0
39,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.655,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.615,1.0,1.0,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.655,1.0,1.0,0.62,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.63,1.0,1.0,0.645,1.0,1.0,0.64,1.0,1.0,0.66,1.0,1.0,0.605,1.0,1.0,0.63,1.0,1.0,0.605,1.0,1.0
40,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.655,1.0,1.0,0.645,1.0,1.0,0.64,1.0,1.0,0.63,1.0,1.0,0.605,1.0,1.0,0.625,1.0,1.0,0.625,1.0,1.0,0.64,1.0,1.0,0.655,1.0,1.0,0.605,1.0,1.0,0.66,1.0,1.0,0.645,1.0,1.0,0.64,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0,0.635,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.645,1.0,1.0,0.61,1.0,1.0
41,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.625,1.0,1.0,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.6,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.615,1.0,1.0,0.64,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0,0.655,1.0,1.0,0.595,1.0,1.0,0.64,1.0,1.0,0.655,1.0,1.0,0.605,1.0,1.0,0.645,1.0,1.0,0.57,1.0,1.0
42,0.64,1.0,1.0,0.63,1.0,1.0,0.605,1.0,1.0,0.635,1.0,1.0,0.645,1.0,1.0,0.64,1.0,1.0,0.655,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.615,1.0,1.0,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.645,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.63,1.0,1.0,0.605,1.0,1.0,0.665,1.0,1.0,0.6,1.0,1.0
43,0.64,1.0,1.0,0.635,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.625,1.0,1.0,0.605,1.0,1.0,0.63,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.61,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.595,1.0,1.0
44,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.63,1.0,1.0,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.635,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.665,1.0,1.0,0.605,1.0,1.0,0.63,1.0,1.0,0.645,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.635,1.0,1.0,0.62,1.0,1.0,0.64,1.0,1.0,0.61,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.6,1.0,1.0
45,0.64,1.0,1.0,0.635,1.0,1.0,0.605,1.0,1.0,0.635,1.0,1.0,0.635,1.0,1.0,0.64,1.0,1.0,0.655,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.615,1.0,1.0,0.64,1.0,1.0,0.66,1.0,1.0,0.605,1.0,1.0,0.645,1.0,1.0,0.62,1.0,1.0,0.64,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.585,1.0,1.0
46,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.63,1.0,1.0,0.64,1.0,1.0,0.635,1.0,1.0,0.605,1.0,1.0,0.635,1.0,1.0,0.645,1.0,1.0,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.665,1.0,1.0,0.655,1.0,1.0,0.64,1.0,1.0,0.625,1.0,1.0,0.605,1.0,1.0,0.635,1.0,1.0,0.645,1.0,1.0,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0
47,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.63,1.0,1.0,0.64,1.0,1.0,0.635,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.635,1.0,1.0,0.64,1.0,1.0,0.635,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.635,1.0,1.0,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.66,1.0,1.0,0.59,1.0,1.0,0.64,1.0,1.0,0.61,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.625,1.0,1.0
48,0.64,1.0,1.0,0.635,1.0,1.0,0.605,1.0,1.0,0.645,1.0,1.0,0.63,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.645,1.0,1.0,0.6,1.0,1.0,0.64,1.0,1.0,0.65,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.585,1.0,1.0,0.64,1.0,1.0,0.655,1.0,1.0,0.605,1.0,1.0,0.67,1.0,1.0,0.62,1.0,1.0,0.64,1.0,1.0,0.655,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.585,1.0,1.0
49,0.64,1.0,1.0,0.645,1.0,1.0,0.605,1.0,1.0,0.645,1.0,1.0,0.615,1.0,1.0,0.64,1.0,1.0,0.64,1.0,1.0,0.605,1.0,1.0,0.64,1.0,1.0,0.63,1.0,1.0,0.64,1.0,1.0,0.67,1.0,1.0,0.605,1.0,1.0,0.645,1.0,1.0,0.6,1.0,1.0,0.64,1.0,1.0,0.655,1.0,1.0,0.605,1.0,1.0,0.65,1.0,1.0,0.595,1.0,1.0,0.64,1.0,1.0,0.63,1.0,1.0,0.605,1.0,1.0,0.67,1.0,1.0,0.61,1.0,1.0
